VILLE,CODE_POSTAL,NBR_CHAMBRES,PAYS,AGENCE_ADRESSE_TELEPHONE,ADRESSE,ANNONCE_LINK,AGENCE_NOM,M2_TOTAL,PRICE,TITRE_ANNONCE,NBR_PIECES
Paris 6ème,75008,1 chambre,France,+33 (0)7 67 45 55 45, 95RueduFbStHonoré 75008 Paris8e,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/20070107/,PROPRIETES PARISIENNES - SOTHEBY'S INTERNATIONAL REALTY,45 m,680 000 €,Appartement,2 pièces
Montpellier,75001,3 chambres,France,+33(0)9 52 34 66 11," 10,placeVendôme 75001 Paris1er",https://proprietes.lefigaro.fr/annonces/appartement-herault-languedoc+roussillon-france/20036121/,STYLES,79 m,318 000 €,Appartement,4 pièces
Bordeaux,33000,4 chambres,France,0556526514, 84coursGeorgesClemenceau 33000 Bordeaux,https://proprietes.lefigaro.fr/annonces/appartement-gironde-aquitaine-france/17512831/,AGENCE LAFAYE,166 m,1 050 000 €,Appartement,6 pièces
Bordeaux,33000,,France,0556526514, 84coursGeorgesClemenceau 33000 Bordeaux,https://proprietes.lefigaro.fr/annonces/hotel+particulier-gironde-aquitaine-france/15878237/,AGENCE LAFAYE,,1 431 000 €,Hôtel particulier avec jardin,
Bordeaux,33000,5 chambres,France,0556526514, 84coursGeorgesClemenceau 33000 Bordeaux,https://proprietes.lefigaro.fr/annonces/propriete-gironde-aquitaine-france/15547169/,AGENCE LAFAYE,233 m,795 000 €,Propriété,7 pièces
Alençon,72650,,France,+33 (0)2 43 51 30 30, 21boulevarddeMaule 72650 Saint-Saturnin,https://proprietes.lefigaro.fr/annonces/maison-orne-basse+normandie-france/18904859/,AGENCES IMMOBILIERES KOTE MAISON YANNICK FOUQUE,,473 354 €,Maison,
Bordeaux,33000,,France,0556526514, 84coursGeorgesClemenceau 33000 Bordeaux,https://proprietes.lefigaro.fr/annonces/propriete-gironde-aquitaine-france/19897991/,AGENCE LAFAYE,,1 113 000 €,Propriété avec piscine et jardin,
Bordeaux,33000,,France,0556526514, 84coursGeorgesClemenceau 33000 Bordeaux,https://proprietes.lefigaro.fr/annonces/chateau-gironde-aquitaine-france/16963079/,AGENCE LAFAYE,,1 447 200 €,Château,
Bordeaux,33000,5 chambres,France,+33 (0)5 56 52 65 14, 84coursGeorgesClemenceau 33000 Bordeaux,https://proprietes.lefigaro.fr/annonces/hotel+particulier-gironde-aquitaine-france/670286-6/,AGENCE LAFAYE,433 m,1 908 000 €,Hôtel particulier,9 pièces
Bordeaux,33000,,France,0556526514, 84coursGeorgesClemenceau 33000 Bordeaux,https://proprietes.lefigaro.fr/annonces/propriete-gironde-aquitaine-france/18843361/,AGENCE LAFAYE,,1 600 000 €,Propriété avec piscine et jardin,
Paris 5ème,75006,2 chambres,France,01 84 79 68 40, 21rueBonaparte 75006 Paris6e,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/18630427/,DANIEL FEAU SAINT - GERMAIN,65 m,1 400 000 €,Appartement,3 pièces
Paris 17ème,75017,,France,06 72 14 65 96, 61rueAmpère 75017 Paris17e,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/20060439/,BOSETTA IMMOBILIER,,1 500 000 €,Appartement,
Bordeaux,33000,,France,0556526514, 84coursGeorgesClemenceau 33000 Bordeaux,https://proprietes.lefigaro.fr/annonces/maison-gironde-aquitaine-france/10324272/,AGENCE LAFAYE,,720 800 €,Maison avec piscine et jardin,
Bordeaux,33000,,France,0556526514, 84coursGeorgesClemenceau 33000 Bordeaux,https://proprietes.lefigaro.fr/annonces/propriete-gironde-aquitaine-france/15485845/,AGENCE LAFAYE,,798 000 €,Propriété avec piscine et jardin,
